Year,Num_Cases,Severe_Rate,Severe_Perday,Severe_PerWeekdays,Severe_PerWeekends,Gun_Rate,Gun_Perday,Gun_PerWeekdays,Gun_PerWeekends,Weekdays_Perday,Weekends_Perday,Dawn_Rate,Morning_Rate,Noon_Rate,Afternoon_Rate,Dusk_Rate,Evening_Rate,Midnight_Rate
2010,209212,0.10552453970135556,60.484931506849314,56.97701149425287,69.28846153846153,0.026862703860199223,15.397260273972602,14.298850574712644,18.153846153846153,580.2068965517242,555.5576923076923,0.04322887788463377,0.15406382043095043,0.16719882224728982,0.21502112689520678,0.16990421199548783,0.13114448501997975,0.11943865552645164
2011,200762,0.10251442005957302,56.38630136986301,53.241379310344826,64.27884615384616,0.024725794722108764,13.6,12.919540229885058,15.307692307692308,550.1187739463602,549.8173076923077,0.04331995098674052,0.1555423835187934,0.17196481405843736,0.21407935764736355,0.16747193193931123,0.12969087775575058,0.11793068409360337
2012,65103,0.10653886917653564,18.950819672131146,17.50763358778626,22.58653846153846,0.022779288204844633,4.051912568306011,3.6374045801526718,5.096153846153846,176.74427480916032,180.73076923076923,0.044514077692272246,0.15297298127582445,0.15798043100932369,0.21565826459610157,0.16768812497119948,0.13086954518224966,0.1303165752730289
2013,192659,0.09073025397204387,47.89041095890411,45.99616858237548,52.64423076923077,0.02069459511364639,10.923287671232877,10.344827586206897,12.375,534.8735632183908,510.16346153846155,0.047161046200800374,0.15730902786789094,0.1747595492554202,0.21603454808755365,0.1668024852200001,0.12288032222735507,0.11505302114097966
2014,195555,0.10184347114622484,54.56438356164384,51.827586206896555,61.43269230769231,0.021405742629950653,11.468493150684932,10.812260536398467,13.115384615384615,540.5977011494252,523.6442307692307,0.046529109457697324,0.15853851857533685,0.17285162741939608,0.2137966301040628,0.16871468384853366,0.12478842269438266,0.11478100790059062
2015,215568,0.11315686929414384,66.83013698630137,62.77394636015325,77.00961538461539,0.021909559860461666,12.93972602739726,12.210727969348659,14.76923076923077,593.0383141762452,584.4711538461538,0.05002133897424479,0.15371019817412604,0.168243895197803,0.21290729607362874,0.17161638090996809,0.12630353299190974,0.1171973576783196
2016,76712,0.12713786630514132,26.647540983606557,25.15648854961832,30.403846153846153,0.02539368025862968,5.3224043715847,4.99236641221374,6.153846153846154,209.25572519083968,210.45192307692307,0.050252893940974035,0.147199916571071,0.15410887475232038,0.21954844092188966,0.17007769319011368,0.13202628011262904,0.1267859005110022
2017,231183,0.11989635916135702,75.93972602739726,71.75095785440612,86.45192307692308,0.02465146658707604,15.613698630136986,14.950191570881225,17.278846153846153,631.7011494252873,637.5865384615385,0.05159981486527988,0.15210893534559203,0.1624254378565898,0.2185152022423794,0.1701033380482129,0.12538984267874367,0.11985742896320231
2018,229014,0.1172941392229296,73.59452054794521,70.12260536398468,82.3076923076923,0.023099024513785184,14.493150684931507,13.639846743295019,16.634615384615383,630.3984674329502,620.0,0.05323255346834691,0.15388578864174243,0.16319526317168384,0.21813076929794686,0.17068388832123801,0.12247722846638197,0.11839450863266002
2019,217812,0.119511321690265,71.31780821917808,67.6896551724138,80.42307692307692,0.023322865590509247,13.917808219178083,13.32567049808429,15.403846153846153,597.7777777777778,594.1538461538462,0.05300442583512387,0.1515802618772152,0.16389363304133842,0.22027711971792188,0.16915964226029787,0.1218803371715057,0.12020458009659707
2020,116090,0.13431820139546904,42.60382513661202,41.19083969465649,46.16346153846154,0.029787234042553193,9.448087431693988,8.99618320610687,10.586538461538462,317.381679389313,316.6923076923077,0.05879059350503919,0.14241536738737187,0.15616332156085797,0.2299336721509174,0.17049702816780085,0.1204841071582393,0.12171591006977345
2021,111278,0.12311508114811553,37.534246575342465,35.28735632183908,43.17307692307692,0.02760653498445335,8.416438356164383,8.026819923371647,9.39423076923077,302.86590038314176,309.90384615384613,0.06100037743309549,0.1449253221661065,0.1572727762900124,0.22149930803932494,0.17050090763672962,0.12451697550279481,0.12028433293193623
